"Authors,""Author full names"",""Author(s) ID"",""Title"",""Year"",""Source title"",""Volume"",""Issue"",""Art. No."",""Page start"",""Page end"",""Page count"",""Cited by"",""DOI"",""Link"",""Abstract"",""Author Keywords"",""Index Keywords"",""Document Type"",""Publication Stage"",""Open Access"",""Source"",""EID""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"De Luca E.; Nardi C.; Giuffrida L.G.; Krug M.; Di Nucci M.R.,""De Luca, Elena (35113005200)"; Nardi, Cecilia (57216628143); Giuffrida, Laura Gaetana (58583463300); Krug, Michael (7005071073);" Di Nucci, Maria Rosaria (14323062100)"",""35113005200";57216628143;58583463300;7005071073;" 14323062100"",""Explaining factors leading to community acceptance of wind energy. Results of an expert assessment"",""2020"",""Energies"",""13"",""8"",""2119"","""","""","""",""21"",""10.3390/en13082119"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084113147&doi=10.3390%2fen13082119&partnerID=40&md5=6544de14c528ecb50eb43e5b7fbe61ff"",""The present article deals with two key drivers of social acceptance of wind energy: procedural justice and distributional justice. It is based on a comparative expert assessment carried out in the frame of the Horizon 2020 project WinWind covering six European countries. The focus of the paper is on procedural and financial participation of citizens and local stakeholders in wind energy projects. The first part covers institutional arrangements for public engagement in two areas of the decision-making process-wind turbine zoning/siting in spatial plans and authorization procedures. Here, three levels of public involvement-information, consultation and participation-were analyzed. The second part examines active and financial participation of citizens and local stakeholders. Here, we distinguish between two different modes of governance: institutionalized forms of public governance and voluntary forms of corporate governance. The outcomes suggest that concrete paths to the social acceptance of wind energy are fostered via appropriate institutional spaces for public engagement. Furthermore, missing opportunities for active and passive financial participation can have strong negative consequences for community acceptance. © 2020 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (http://creativecommons.org/licenses/by/4.0/)."",""Participation"; Public involvement; Social acceptance;" Wind energy"",""Decision making"; Finance; Public policy; Social aspects; Authorization procedure; Corporate governance; Decision making process; European Countries; Institutional arrangement; Procedural justice; Public involvement; Wind energy projects;" Wind power"",""Article"",""Final"",""All Open Access";" Gold Open Access"",""Scopus"",""2-s2.0-85084113147""";;;;;;;;;;;;;;;;
"Langer K.; Decker T.; Menrad K.,""Langer, Katharina (57189899266)"; Decker, Thomas (36864653900);" Menrad, Klaus (6602833347)"",""57189899266";36864653900;" 6602833347"",""Public participation in wind energy projects located in Germany: Which form of participation is the key to acceptance?"",""2017"",""Renewable Energy"",""112"","""","""",""63"",""73"",""10"",""102"",""10.1016/j.renene.2017.05.021"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019132205&doi=10.1016%2fj.renene.2017.05.021&partnerID=40&md5=a7707e6e9b93a1ce31e9096b871eb953"",""It is widely recognized that social aspects play an important role in the implementation of wind energy projects. The energy transition in Germany can only succeed if the needs and expectations of local citizens are taken into account. Previous research has shown that public participation fosters the acceptance of wind energy by citizens. This study explores which form of participation citizens prefer with respect to wind energy projects. Opportunities for participation range from no participation, alibi participation, information, consultation, cooperation and financial participation. We used a hypothetical choice experiment in which people are asked to choose between different wind energy projects that were described by a number of attributes. The results show that the most important factors influencing the acceptance of wind energy projects are the sound level at the place of residence, the distance of the turbines to the place of residence and participation opportunities. With regard to participation, respondents prefer information over financial participation. The results suggest that citizens should be involved in informative and deliberative participation processes. © 2017 Elsevier Ltd"",""Acceptance"; Choice experiment; Citizen participation; Citizen preference; Germany;" Wind energy"",""Germany"; Social aspects; Acceptance; Choice experiments; Citizen participation; Citizen preference; Germany; citizenship; energy planning; financial provision; participatory approach; renewable resource; resident population; wind power;" Wind power"",""Article"",""Final"","""",""Scopus"",""2-s2.0-85019132205""";;;;;;;;;;;;;;;;;
"Baxter J.; Walker C.; Ellis G.; Devine-Wright P.; Adams M.; Fullerton R.S.,""Baxter, Jamie (7202282439)"; Walker, Chad (56168313300); Ellis, Geraint (7202721521); Devine-Wright, Patrick (6507800824); Adams, Michelle (7403905108);" Fullerton, Romayne Smith (7003622873)"",""7202282439";56168313300;7202721521;6507800824;7403905108;" 7003622873"",""Scale, history and justice in community wind energy: An empirical review"",""2020"",""Energy Research and Social Science"",""68"","""",""101532"","""","""","""",""81"",""10.1016/j.erss.2020.101532"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084699687&doi=10.1016%2fj.erss.2020.101532&partnerID=40&md5=d35a21eec2eeebd585a739a2481ec259"",""Although there is a clear positive link between community wind energy (CWE) projects and social acceptance, there is still empirical and conceptual ambiguity concerning the details of why. To fill this gap, we revisit foundational papers in this field and then, focusing on empirical case studies between 2010 and 2018 (n = 15), trace how recent research has engaged with existing conceptual frameworks. Most empirical researchers verify the importance of the two key dimensions defined by Walker & Devine-Wright [1]: process and outcome, and then relate this to procedural justice and distributive justice. Meanwhile, the core concept of “community” has been deployed, in both practice and research, in so many different and sometimes ambiguous ways that it remains difficult to assert if, and how, community-based renewable energy policy and siting practice produces high levels of local community acceptance. We suggest that parsing out the scale of investment in wind energy projects and the local historical context of energy transitions add clarity to the Walker & Devine-Wright framework as it relates to CWE";" providing important conceptual nuance for guiding policy, developer practices and future empirical research. © 2020 Elsevier Ltd"",""Community wind energy"; Financial benefits; Investment; Process; Scale;" Social acceptance"","""",""Review"",""Final"",""All Open Access";" Green Open Access"",""Scopus"",""2-s2.0-85084699687""";;;;;;;;;;;;;;;;;;;;;;;
"Vuichard P.; Stauch A.; Dällenbach N.,""Vuichard, Pascal (57211013037)"; Stauch, Alexander (57211012793);" Dällenbach, Nathalie (57211012136)"",""57211013037";57211012793;" 57211012136"",""Individual or collective? Community investment, local taxes, and the social acceptance of wind energy in Switzerland"",""2019"",""Energy Research and Social Science"",""58"","""",""101275"","""","""","""",""58"",""10.1016/j.erss.2019.101275"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072244088&doi=10.1016%2fj.erss.2019.101275&partnerID=40&md5=8011e5bda7952e897e7c492f1cf9c325"",""This research paper describes the effect of different financial participation models for wind energy projects on the social acceptance of a hypothetical project. Based on the configuration of three different financial participation models tested in a pre-study with several industry experts, we conducted an experimental survey with a representative sample of Swiss electricity customers (n = 1202). Our results indicate that a local resource tax that benefits the entire community is favored over individual financial participation models (namely, the opportunity for local citizens to participate through shares or bonds). For key stakeholders such as community attached people or those with a politically centrist, progressive mindset, the local resource tax leads to a significant increase in acceptance. As findings about specific financial participation models for wind energy projects are rare, our research creates a foundation on which social acceptance of wind energy projects at the local community level can be fostered. © 2019 Elsevier Ltd"",""Experimental study"; Financial participation; Social acceptance;" Wind energy"","""",""Article"",""Final"","""",""Scopus"",""2-s2.0-85072244088""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nichifor M.A.,""Nichifor, Maria Alexandra (56505141700)"",""56505141700"",""Public reactions towards wind energy instalments. Case study: Romania and the Netherlands"",""2016"",""Management and Marketing"",""11"",""3"","""",""532"",""543"",""11"",""7"",""10.1515/mmcks-2016-0014"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996489165&doi=10.1515%2fmmcks-2016-0014&partnerID=40&md5=0328d154df50d1a25146732aad1699a1"",""Wind energy experienced an exponential development in the past two decades, forming a main source of energy today, but also a frequently encountered issue of debate due to the increased proximity of wind turbines to citizens’ residence, especially in the case of the Western part of the European Union. Although the benefits of renewable sources of energy represent a compulsory effort towards ensuring sustainable energy strategies for the future, due to the increased pressure of balancing climate change, limitation of traditional energy resources and economic competition, the expansion of wind parks has caused strong reactions of local communities in many regions leading to the reorganization of public exposure strategies of many companies in the field. This research intends to offer a sample of public perceptions of wind turbines depending on several influence factors, based on the answers of 64 Dutch citizens and 40 Romanian respondents. Through the implementation of the Delphi method based on questionnaires and interviews, an overview of perceptions towards placement of wind turbines in the two analyzed countries has been offered, providing significant answers to the influence factors of public reactions for or against wind turbines. The main results of the research revealed the importance of financial benefits in increasing public acceptance of wind farms, as well as several subjective factors, such as the visual impact of wind turbines and onshore or offshore placement, that contribute to a positive or negative behavior of citizens towards it. © 2016, Editura Economica. All rights reserved."",""Offshore wind energy"; Perceptions; Public acceptance;" Wind energy"","""",""Article"",""Final"",""All Open Access"; Gold Open Access;" Green Open Access"",""Scopus"",""2-s2.0-84996489165""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Syal S.M.; Ding Y.; MacDonald E.F.,""Syal, Sita M. (57212271094)"; Ding, Yiqing (57212273760);" MacDonald, Erin F. (24341556300)"",""57212271094";57212273760;" 24341556300"",""Agent-based modeling of decisions and developer actions in wind farm landowner contract acceptance"",""2019"",""Proceedings of the ASME Design Engineering Technical Conference"",""2B-2019"","""","""","""","""","""",""0"",""10.1115/DETC2019-98387"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076357787&doi=10.1115%2fDETC2019-98387&partnerID=40&md5=6c541f2d471697a0f7b57f110267b1bf"",""This paper presents an agent-based model to investigate interactions between wind farm developers and landowners. Wind farms require hundreds of square miles of land for development and developers typically interact with landowners to lease land for construction and operations. Landowners sign land lease contracts without knowing the turbine layout, which affects aesthetics of property as well as value of the lease contract. Having a turbine placed on one's land is much more lucrative than not, but landowners have to sign over the use of their land without knowing if they will receive this financial benefit or not. The timing of this process, typically referred to as “Landowner Acquisition,” introduces high uncertainty for both stakeholders and represents a major pain point of the industry—a source stated up to 50% of wind projects fail due to landowner acquisition issues. We present an agent-based model that models the land lease contract period with unique decision-making characteristics for a set of landowners and a wind farm developer. Citizen participation is an integral part of community acceptance of wind farms, thus we use principles from past studies to quantify three actions a developer can take to influence landowner decisions: (1) community engagement meetings"; (2) preliminary environmental studies;" and (3) sharing the wind turbine layout with the landowner. The results show how landowner acceptance rates can potentially change over time based on what actions the developer takes. Overall, developers can use this model to better understand interactions with landowners and determine what actions may help positively influence landowner acceptance rates. Copyright © 2019 ASME."","""",""Autonomous agents"; Computer aided design; Decision making; Electric utilities; Simulation platform; Wind power; Agent-based model; Citizen participation; Community engagement; Contract period; Environmental studies; Financial benefits; Land for constructions; Wind farm developers;" Computational methods"",""Conference paper"",""Final"","""",""Scopus"",""2-s2.0-85076357787""";;;;;;;;;;;;;;;;;;;;
"Walker B.J.A.; Russel D.; Kurz T.,""Walker, Benjamin J.A. (56659583100)"; Russel, Duncan (15751584700);" Kurz, Tim (9436949200)"",""56659583100";15751584700;" 9436949200"",""Community Benefits or Community Bribes? An Experimental Analysis of Strategies for Managing Community Perceptions of Bribery Surrounding the Siting of Renewable Energy Projects"",""2017"",""Environment and Behavior"",""49"",""1"","""",""59"",""83"",""24"",""22"",""10.1177/0013916515605562"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002152416&doi=10.1177%2f0013916515605562&partnerID=40&md5=23530fa72252f9d358ecb01b34d5a159"",""The provision of financial incentives to local communities by energy developers has attracted cynicism across many localities, with some suggesting such community benefits are akin to “bribery.” The current study used an experimental design embedded within a community postal survey to explore whether potentially damaging effects of bribery rhetoric upon local support for a wind farm can be overcome through (a) portraying community benefits as a policy requirement (rather than a discretionary gesture by developers), and/or (b) the deployment of different discursive strategies by developers to manage their stake in the outcome of the project. Participants told about community benefits as being a policy requirement showed significantly higher support for the wind farm, an effect that was mediated by heightened perceptions of individually and collectively favorable outcomes from the development. We discuss our results in relation to their implications for government policy approaches to promoting renewable energy supply. © 2015, © 2015 SAGE Publications."",""community benefits"; energy policy; environmental justice; framing;" wind farms"",""energy policy"; environmental justice; experimental design; experimental study; investment incentive; local participation; perception; policy implementation; policy making; renewable resource;" wind farm"",""Article"",""Final"",""All Open Access";" Green Open Access"",""Scopus"",""2-s2.0-85002152416""";;;;;;;;;;;;;;;;;;;;;
"Martin O.S.,""Martin, O. San (57201568330)"",""57201568330"",""Social acceptance """"in my backyard"""" - What drives social acceptance of renewable energy projects?"",""2023"",""Journal of Physics: Conference Series"",""2507"",""1"",""012004"","""","""","""",""2"",""10.1088/1742-6596/2507/1/012004"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164535506&doi=10.1088%2f1742-6596%2f2507%2f1%2f012004&partnerID=40&md5=d9d59a7f82eeae40cf30ba7c038b3011"",""This paper aims to present a general overview of the social acceptance of wind energy developments in Europe and identify influential social acceptance factors. First, we show social acceptance levels for renewable energy (onshore wind) projects in selected European countries and how it varies across and within countries. In addition, we produce regional maps showing within country variations in social acceptance indicators. Second, using an econometric model, we study how different factors influence social acceptance levels. Our investigation assesses social acceptance of renewable energy developments using primary data from two comprehensive opinion surveys. The first opinion survey -conducted in September/October 2021- contains more than 16 000 observations from 8 European countries and allows us to assess how social acceptance is affected by the distance to the wind parks. The second opinion survey - conducted in June 2022 - contains more than 18 000 observations from 9 European countries and allows us to assess -through an econometric model how social acceptance is affected by a set of relevant influential factors, including perceptions, preferences towards energy suppliers, preferences for community benefits schemes, and demographic factors among others. The analysis of the information gathered for this investigation shows variations across European countries and within each of the countries covered by this study. The findings from this study might be helpful to take into consideration during the planning and development of renewable energy projects and improve targeting the work towards community engagement aiming to obtain the social license to build and operate renewable energy projects. © 2023 Institute of Physics Publishing. All rights reserved."","""",""Energy policy"; Social aspects; Sustainable development; Wind power; Econometric modelling; European Countries; Onshore winds; Opinion surveys; Regional maps; Renewable energies; Renewable energy projects; Social acceptance; Wind energy development; Wind projects;" Digital storage"",""Conference paper"",""Final"",""All Open Access";" Gold Open Access"",""Scopus"",""2-s2.0-85164535506""";;;;;;;;;;;;;;;;;;;;;;;;;
"NDI F.A.,""NDI, Frankline A. (57193513527)"",""57193513527"",""Land acquisition, renewable energy development, and livelihood transformation in rural Kenya: The case of the Kipeto wind energy project"",""2024"",""Energy Research and Social Science"",""112"","""",""103530"","""","""","""",""4"",""10.1016/j.erss.2024.103530"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188696773&doi=10.1016%2fj.erss.2024.103530&partnerID=40&md5=c0c807ceee07fc8ac41dc1a94b3a84a7"",""In Kenya, as well as in other parts of the global South, the drive to expand electricity production through large-scale renewable energy projects such as wind, solar and geothermal have been widely documented, along with land-related contestations emerging from within the affected communities. However, cases where local people consent to cede land to land investors have not yet received sufficient scholarly attention. Focusing on the Kipeto wind energy project in Kenya, this paper presents a counterpoint to the theoretical postulate of ‘accumulation by dispossession’ – to show how accumulation was possible without community dispossession of land. Grounded in empirical research, the paper argues, first, that land acquisition for wind energy development does not necessarily lead to dispossession if affected populations are compensated fairly, for example with better housing, jobs, money, and importantly are allowed to continue accessing land to sustain livelihoods. Second, the achievability of Kipeto wind energy project is largely due to the company's strategic approach to land consultation and negotiation with communities, which leads to wider social acceptance of the wind energy project. Nevertheless, some landowners have expressed their dissatisfaction concerning the financial compensation mechanisms. Thus, there is need for a longitudinal study to ascertain the extent to which the project developer and landowners keep to their promises as well as to understand the long-term impacts of land deals. © 2024 The Author"",""Accumulation without dispossession"; Kenya; Land acquisition; Livelihoods; Social acceptance;" Wind energy"","""",""Article"",""Final"",""All Open Access";" Hybrid Gold Open Access"",""Scopus"",""2-s2.0-85188696773""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bessette D.; Crawford J.,""Bessette, Douglas (55673921300)";" Crawford, Jessica (57430947100)"",""55673921300";" 57430947100"",""All's fair in love and WAR: The conduct of wind acceptance research (WAR) in the United States and Canada"",""2022"",""Energy Research and Social Science"",""88"","""",""102514"","""","""","""",""8"",""10.1016/j.erss.2022.102514"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123696315&doi=10.1016%2fj.erss.2022.102514&partnerID=40&md5=2fbd135048c42fcf5ea65bc043fb2900"",""The number of studies examining social acceptance of wind energy in the United States and Canada has increased considerably since the 1980s. Here we conduct a methodological review of wind acceptance research (WAR) literature in response to four articles published in this journal. These include a recent synthesis of WAR by Rand and Hoen in 2017 recommending better incorporation of results into development practices and comparability of case studies";" a 2020 investigation by Walsh and colleagues into potential research fatigue in unconventional oil and gas development research, and finally calls by Sovacool and others in 2014 and 2018 to increase the theoretical depth and reflection in energy social science. Using a systematic review of 114 WAR articles and an online survey of 41 corresponding authors, we investigate the location of WAR study sites, the success of different WAR designs and incentives, the disciplines and theories dominating WAR, and finally dissemination practices. Our results show that, outside national surveys, WAR is geographically concentrated in regions distant from the highest installed capacity and focus on projects that are novel, controversial, or unique to a specific region. We find little support for research fatigue. Additionally, most WAR lacks an underlying theory. We conclude by recommending greater qualitative analysis of study site selection criteria and greater integration of existing WAR theories and WAR with solar acceptance research. Finally, we urge scholars to ensure and communicate a clear purpose, value and financial benefit to WAR participants and meaningfully consider the broader community contexts examined. © 2022 Elsevier Ltd"",""Dissemination"; Incentives; Opposition; Social acceptance; Systematic review;" Wind energy"","""",""Article"",""Final"",""All Open Access";" Bronze Open Access"",""Scopus"",""2-s2.0-85123696315""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rudolph D.; Haggett C.; Aitken M.,""Rudolph, David (56148565300)"; Haggett, Claire (8986651100);" Aitken, Mhairi (35217630600)"",""56148565300";8986651100;" 35217630600"",""Community benefits from offshore renewables: The relationship between different understandings of impact, community, and benefit"",""2018"",""Environment and Planning C: Politics and Space"",""36"",""1"","""",""92"",""117"",""25"",""47"",""10.1177/2399654417699206"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040117754&doi=10.1177%2f2399654417699206&partnerID=40&md5=5d908edd43ba59cb3646134ccd89e492"",""This paper presents the findings of a research project evaluating community benefit models for offshore renewables. We identify and analyse UK and international case studies of different forms of community benefit, and provide evidence of how such benefits are delivered. In particular we consider the key relationship between the identification of communities, perception of impact, and the apportionment of benefits. In doing so, we develop a range of different definitions of ‘community’, ‘benefit’, and ‘impact’ when considering community benefits. We propose that the way in which community, benefit, and impact are understood is crucial in determining whether or how benefits should be apportioned and delivered";" and that these definitions are closely connected to each other. We develop a new series of typologies as a way to understand this. Finally, we assess different mechanisms and schemes of community benefits to identify good practice and key points of learning for policy and planning. © 2017, © The Author(s) 2017."",""community benefits"; energy justice; Offshore renewables; social acceptance;" wind energy"",""United Kingdom"; alternative energy; energy policy; offshore structure; renewable resource;" wind power"",""Article"",""Final"",""All Open Access";" Green Open Access"",""Scopus"",""2-s2.0-85040117754""";;;;;;;;;;;;;;;;;;;;;;;;;
"Olbrich S.; Fünfgeld H.,""Olbrich, Sarah (57820181000)";" Fünfgeld, Hartmut (6504386415)"",""57820181000";" 6504386415"",""Energy justice in wind energy development – Strengthening local acceptance through financial participation?";" [Energiegerechtigkeit im Windenergieausbau – Finanzielle Teilhabe als Möglichkeit zur Stärkung lokaler Akzeptanz?]"",""2023"",""Raumforschung und Raumordnung"",""81"",""2"","""",""124"",""139"",""15"",""3"",""10.14512/rur.150"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160718988&doi=10.14512%2frur.150&partnerID=40&md5=3221577723b0352c265fea099c92caa9"",""Onshore wind energy development is often delayed or even prevented by local resistance. Against this backdrop, we dis-cuss financial participation as a measure to promote local acceptance by positively influencing the perceived experience of justice. Building on the concept of energy justice, this paper in-vestigates the extent to which different forms of financial participation are suitable for better distributing costs and ben-efits, creating opportunities for participation, and examining who can participate financially. In addition to a comprehensive literature review, interviews were conducted with wind turbine planners and operators. These show that stakeholders engage in financial participation to different degrees across different projects and that the preferred form of participation varies from one region to another. Moreover, no model of financial participation appears to be suited to address all dimensions of energy justice, as all models are characterised by certain advantages and disadvantages. Therefore, the availability of financial participation options alone is unlikely to increase local acceptance. Such options can, however, be effective when combined with other measures to increase acceptance. © 2022 by the author(s)";" licensee oekom."",""Citizen participation"; Energy justice; Financial participation; Local acceptance;" Wind energy"","""",""Article"",""Final"",""All Open Access"; Gold Open Access;" Green Open Access"",""Scopus"",""2-s2.0-85160718988""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Klain S.C.; Satterfield T.; MacDonald S.; Battista N.; Chan K.M.A.,""Klain, Sarah C. (55329567100)"; Satterfield, Terre (35616449900); MacDonald, Suzanne (57189192931); Battista, Nicholas (57194417536);" Chan, Kai M.A. (55567828700)"",""55329567100";35616449900;57189192931;57194417536;" 55567828700"",""Will communities “open-up” to offshore wind? Lessons learned from New England islands in the United States"",""2017"",""Energy Research and Social Science"",""34"","""","""",""13"",""26"",""13"",""50"",""10.1016/j.erss.2017.05.009"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020051261&doi=10.1016%2fj.erss.2017.05.009&partnerID=40&md5=a7e4dfe5e1ad73772bdc608aee56bc28"",""National-scale polls demonstrate high levels of public support for developing renewable energy while local opposition has led to delays and cancelations of renewable energy projects around the world. What makes for robust public engagement processes to reject or site renewable energy projects? A literature review reveals numerous considerations, with complexity that impedes their application by practitioners. In this study, we conducted interviews and document analysis to assess the extent to which design principles from the analytic-deliberative process literature arose during public engagement on three New England islands adjacent to proposed offshore wind farms. In our study sites—amongst the array of criteria in the literature—good public engagement boiled down to two key themes: enabling bidirectional deliberative learning and providing community benefit. Decision processes perceived as effective occurred when (1) participants, including experts and local stakeholders, learned from each other while reconciling technical expertise with citizen values";" and (2) outcomes included the provision of collaboratively negotiated community benefits. Our findings highlight that community benefits are not the same as benefits to groups of individuals. Attending to these key themes may improve the quality of interactions among communities, government authorities and developers when deciding if and where to site renewable energy infrastructure. © 2017 The Authors"",""Community benefits"; Deliberative learning; Offshore wind farms;" Social acceptance of renewable energy"","""",""Article"",""Final"",""All Open Access";" Hybrid Gold Open Access"",""Scopus"",""2-s2.0-85020051261""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Simón X.; Copena D.; Montero M.,""Simón, Xavier (55630407900)"; Copena, Damián (56054883400);" Montero, María (55630190600)"",""55630407900";56054883400;" 55630190600"",""Strong wind development with no community participation. The case of Galicia (1995–2009)"",""2019"",""Energy Policy"",""133"","""",""110930"","""","""","""",""17"",""10.1016/j.enpol.2019.110930"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071108779&doi=10.1016%2fj.enpol.2019.110930&partnerID=40&md5=37c5f40362aba0bcfd10b74999e9ec15"",""This paper aims to identify the factors leading to strong wind energy development in Galicia from 1995 to 2009, in the absence of social conflict. Using participatory research techniques, our work indicates that the absence of local opposition is associated to the regulatory framework throughout this period. The central elements contributing to a better understanding of the success of this wind energy development with no social conflict are vertical decision-making and wind energy planning"; the lack of institutional information and participation mechanisms and, above all, the process that declared it as Public Utility, thus opening the possibility of land expropriation. Our work concludes that, in the case under study, communities had no relevant role;" their participation in the wind energy development process was a mere formality emptied of decision-making capacity. The scope of community benefits therefore became irrelevant in explaining wind dynamics within that territory. © 2019 Elsevier Ltd"",""Community benefits"; Galicia; Local acceptance;" Wind energy"",""Galicia [Spain]"; Spain; Decision making; Public utilities; Sustainable development; Community benefits; Community participation; Galicia; Local acceptance; Participatory research; Regulatory frameworks; Social conflicts; Wind energy development; decision making; local participation; public attitude; resource development; social conflict; wind power;" Wind power"",""Article"",""Final"","""",""Scopus"",""2-s2.0-85071108779""";;;;;;;;;;;;
"Walker C.; Baxter J.,""Walker, Chad (56168313300)";" Baxter, Jamie (7202282439)"",""56168313300";" 7202282439"",""“It's easy to throw rocks at a corporation”: wind energy development and distributive justice in Canada"",""2017"",""Journal of Environmental Policy and Planning"",""19"",""6"","""",""754"",""768"",""14"",""74"",""10.1080/1523908X.2016.1267614"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007518273&doi=10.1080%2f1523908X.2016.1267614&partnerID=40&md5=7f3b58c8f34b238eab9081d510891199"",""In places like Canada, fast-paced wind turbine development combined with policy that limits local decision-making power has resulted in strong opposition to specific projects. Some studies suggest that anti-wind sentiment is tied to inadequate financial benefits–especially sharing at the local level. Thus, ideas of distributive economic justice have received traction, particularly in the form of praise for community-based development models. This paper reports on the findings from a mixed-methods study concerning preferred distributive justice elements in rural communities in Ontario (technocratic-based model) and Nova Scotia (community-based model) living with turbines. Residents’ perceptions of economic benefits are nuanced, but unlike other studies, this empirical work shows that both the fair distribution and the amount of local benefits are important predictors of project support. Yet, concerns around the fair distribution of benefits dominate in a regression on the adequacy of those benefits. A variety of interview and survey findings further point to the strength of traditional, profit-sharing community-based models for distributing benefits, but also more novel ideas including lowered electricity bills and tax rebates in areas home to turbines. © 2016 Informa UK Limited, trading as Taylor & Francis Group."",""distributive justice"; economic benefits; Energy policy;" wind energy"","""",""Article"",""Final"","""",""Scopus"",""2-s2.0-85007518273""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tyler G.; Bidwell D.; Smythe T.; Trandafir S.,""Tyler, Grant (57222081742)"; Bidwell, David (35108892900); Smythe, Tiffany (36714168300);" Trandafir, Simona (57188994282)"",""57222081742";35108892900;36714168300;" 57188994282"",""Preferences for community benefits for offshore wind development projects: A case study of the Outer Banks of North Carolina, U.S."",""2022"",""Journal of Environmental Policy and Planning"",""24"",""1"","""",""39"",""55"",""16"",""12"",""10.1080/1523908X.2021.1940896"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107903862&doi=10.1080%2f1523908X.2021.1940896&partnerID=40&md5=8da4164aa2e87678598a138d9edfbe3d"",""As offshore wind energy development gains a foothold, the possibility of conflict between local communities and developers may become increasingly common. Coastal communities within the viewshed or hosting transmission cables may fear several impacts but few benefits. Community benefits, provided through the wind farm developer, may help garner local support in communities in close proximity to a wind farm project. This research focused on the first offshore wind energy lease off the coastline of North Carolina, U.S. This study utilized semi-structured interviews to understand how key informants think of a proposed offshore wind farm in the context of community benefits. Findings reveal that key informants are skeptical of direct benefits like local employment, though optimistic about indirect, regional benefits, like economic development. The majority of key informants were interested in a community fund that would be administered by the local government or a trusted local organization. This study provides an initial assessment of perspectives on community benefits in the context of offshore wind development and makes recommendations on how to incorporate community benefits into the offshore wind development process. Furthermore, we emphasize the importance of additional research into this topic. © 2021 Informa UK Limited, trading as Taylor & Francis Group."",""Community benefits"; offshore wind energy; public acceptance;" renewable energy"","""",""Article"",""Final"","""",""Scopus"",""2-s2.0-85107903862""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pendrill L.; Glebe D.,""Pendrill, Leslie (6701743859)";" Glebe, Dag (57191901851)"",""6701743859";" 57191901851"",""A survey of noise disturbance in Swedish farms of large wind turbines"",""2019"",""INTER-NOISE 2019 MADRID - 48th International Congress and Exhibition on Noise Control Engineering"","""","""","""","""","""","""",""0"","""",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084162254&partnerID=40&md5=00476ee1087563c8bee28d57bb924dac"",""In 2015, a project was initiated to investigate what factors were dominating the perception of wind turbine noise in the vicinities of seven wind farms in Sweden with relatively large wind turbines. The project included, besides two listening tests, a survey of perceptual and socioeconomic factors. In a questionnaire to habitants in the vicinity of the investigated wind farms, questions were asked regarding their housing situation, living conditions, the bedroom's orientation towards wind turbines, noise disturbance, visual impact from wind turbines, economic incentive models, ownership structures, general attitudes about wind power, and more. The purpose was to provide a holistic basis for a future synthesis model for disturbance, and this project focused on the correlation between noise disturbance and visual impact from wind turbines, ownership structures and financial compensation models from the wind farm. The questionnaire was analysed with psychometric methods, including logistic regression and multivariate techniques as principal component regression. The results of the psychometric analyses showed a large spread in sensitivity to disturbances (both visual and acoustic) from wind power plants, but the most difficult elements could be identified for various factors in the questions, including e.g. audial and health factors, and the quality of financial compensation. © INTER-NOISE 2019 MADRID - 48th International Congress and Exhibition on Noise Control Engineering. All Rights Reserved."",""Disturbance"; Environment; Questionnaire; Rasch;" Wind Turbine Noise"",""Acoustic variables control"; Electric power system interconnection; Electric utilities; Logistic regression; Surveys; Wind power; Disturbance; Environment; Questionnaire; Rasch; Wind turbine noise;" Wind turbines"",""Conference paper"",""Final"","""",""Scopus"",""2-s2.0-85084162254""";;;;;;;;;;;;;;;;;;;;;;;
