Topic,Count,Name,Representation,Representative_Docs
10,61,10_violence_power violence_wind power_power,"['violence', 'power violence', 'wind power', 'power', 'wind', 'nt', 'rt', 'dushanwegner wind', 'violence rt', 'windpower']","['rt @ dushanwegner : wind power violence .', 'rt @ dushanwegner : wind power violence .', 'rt @ dushanwegner : wind power violence !']"
11,59,11_forest_forests_wind_asparagus,"['forest', 'forests', 'wind', 'asparagus', 'power forest', 'reinhardswald', 'trees', 'tesla', 'will', 'wind power']","['video planned location wind turbine 17 reinhardswald forest .. via @ youtube .. # reinhardswald # nowindpowerintheforest # windfarm # windparkreinhardswald # powerofreason # natureconservation # forestprotection # renewables # windenergy', '@ profklarname @ berndfachinsson can take whatever stance want tesla dream , brandenburg pine forest park definitely ca nt compared reinhardswald forest , felled wind power . green resistance arise .', '@ benjaminhoff s speech # windpower forest owner s perspective , s understandable open wind power forest . however , wind power forest nt just affect owner . s changing type use forest quasi-industrial use . [ 1/x ]']"
12,59,12_rt_peteraltmaier_bmwibund_cducsubt,"['rt', 'peteraltmaier', 'bmwibund', 'cducsubt', 'crazier', 'constzerger', 'tspbackgroundek', 'svenjaschulze68', 'jdoeschner', 'petersimone']","['rt @ co2abgabe : # kohleausstieg tactically , politically economically stupid @ ppinzler @ zeitonline @ peteraltmaier @ olafscholz @ svenjaschulze68…', '@ peteraltmaier - s true , lawyers making fortune . @ cdu getting crazier crazier .', 'rt @ centro2 : @ peteraltmaier - s true , lawyers making fortune . @ cdu getting crazier crazier . htt…']"
13,58,13_turbines_siemens_farm_wind farm,"['turbines', 'siemens', 'farm', 'wind farm', 'wind', 'wind turbines', 'mw', 'subsidiary', 'construction', 'gamesa']","['ig windkraft : despite year s record expansion , dark clouds hang offshore ... ... offshore wind turbines installed siemens gamesa renewable energy 2019 will come siemens transformers plant weiz . `` green new deal ...', 'zeitung_energie `` siemensgamesa supplies turbines largest us offshore wind farm : siemens  wind power subsidiary – siemens gamesa – preferred supplier largest us offshore wind power project date. ``', 'siemens supplies turbines largest us offshore wind farm : siemens  wind power subsidiary , siemens gamesa , preferred supplier largest us offshore wind power project date .']"
14,57,14_coal_phaseout_coal phaseout_rt,"['coal', 'phaseout', 'coal phaseout', 'rt', 'phaseout law', 'law', 'power', 'wind power', 'energytransition', 'late']","['rt @ bweev : new # coal entry # coal phase-out . datteln 4 trial operation . ps : # wind turbine permitted ...', '@ luisamneubauer grand coalition nt really interested phasing coal . altmeier , particular , putting brakes . re pushing back coal phaseout making wind power impossible .', 'public pressure working : 1000m distance rule removed latest draft # coal phase-out law . now includes possibility # forced shutdowns coal-fired power plants – albeit far late . # actnow # coalphaseout']"
15,56,15_cdu_csu_cducsu_spd,"['cdu', 'csu', 'cducsu', 'spd', 'wants', 'cap', 'cdu wants', 'photovoltaics', 'power', 'wind power']","['parts cdu want eliminate 52 gigawatt # photovoltaics cap expansion photovoltaics minimum distance 1,000 meters wind turbines also enacted . cdu want one two , photovoltaics wind power ?', 'months , cdu/csu spd arguing distances wind turbines residential areas . climate package provides clear regulations . federal minister economic affairs peter altmaier ( cdu ) wants compromise . # schwaebische', 'rt @ bwe_sh : tagesspiegel : cdu/csu declares war wind power new proposal distance regulations , cdu/csu wants promote wind power even ...']"
16,44,16_co2_co2 emissions_emissions_backlog,"['co2', 'co2 emissions', 'emissions', 'backlog', 'co2free', 'power backlog', '2020', 'prices co2', 'emissions 2020', 'higher electricity']","['onshore wind power backlog leads higher electricity prices co2 emissions 2020 -', 'onshore wind power backlog leads higher electricity prices co2 emissions 2020', 'onshore wind power backlog leads higher electricity prices co2 emissions 2020']"
17,41,17_jobs_lost_industry_jobs lost,"['jobs', 'lost', 'industry', 'jobs lost', '20000', 'solar', 'coal', '40 billion', 'workers', 'employees']","['@ heutejournal @ pik_klima 40 billion ( four coal mining states alone ) / 20,000 employees = 2,000,000 euros per person . future technologies like wind power solar energy , clear-cutting taking place , many jobs lost ! # notmycoalcompromise', '40 billion ( four coal mining states alone ) / 20,000 employees = 2,000,000 euros per person . future technologies like wind power solar energy completely wiped , many jobs lost ! # notmycoalcompromise', '@ zseiger @ luisamneubauer @ ende__gelaende due completely misguided policies , several times many jobs lost wind power recent years jobs coal industry . much jobs .']"
18,38,18_birds_bird_number_bats,"['birds', 'bird', 'number', 'bats', 'number victims', 'shredder', 'mean bird', 'victims much', 'bird shredder', 'higher expected']","['rt @ martinfehringe3 : wind energy birds : `` number victims much higher expected ', 'wind energy birds : `` number victims much higher expected ', ': wind energy birds : `` number victims much higher expected  -']"
19,36,19_schleswigholstein_new_plans_wind,"['schleswigholstein', 'new', 'plans', 'wind', 'regional', 'bwesh', 'wind energy', 'energy', '13 billion', 'knonline']","['rt @ ndrsh : since midnight , schleswig-holstein residents able submit opinions new # windenergy regional plans : …', 'rt @ bwe_sh : press conference today present new diw study : 1.3 billion added value generated onshore wind energy schleswig…', 'today s press conference present new diw study : 1.3 billion euros added value generated onshore wind energy schleswig-holstein 2018 # windenergie @ bweev @ diw_berlin @ land_sh']"
20,36,20_lignite_first time_first_energy source,"['lignite', 'first time', 'first', 'energy source', 'time', 'important energy', 'source', 'electricity', 'energy', 'electricity generation']","['rt @ hstubner : spon : wind power important energy source first time . lignite top long time – year , first time , …', '`` makes # wind energy important energy source electricity generation first time , ahead # lignite . year , contributes 24 % net electricity generation , lignite contributes 20 % .  👉💚🍄💨🎏 # goodvibes', '➦ electricity generation : wind power important energy source first time » lignite long important energy source – year , first time , wind power important energy source germany . currently , however , expansion virtually come standstill .']"
21,35,21_bavaria_10h_please_share,"['bavaria', '10h', 'please', 'share', 'sign', 'please sign', 'power ban', 'sign share', 'bavaria wind', 'thanks blanket']","['@ diezeit ‼️ please sign share `` 10h  ‼️ bavaria , wind power ban already de facto `` successful  `` thanks  blanket , arbitrary , completely excessive distancing regulations 😡😠😤', '@ a_socialpreneur ‼️ please sign share `` 10h  ‼️ bavaria , wind power ban already de facto `` successful  `` thanks  blanket , arbitrary , completely excessive distancing regulations 😡😠😤', '@ fff_bayern ‼️ please sign share `` 10h  ‼️ bavaria , wind power ban already de facto `` successful  `` thanks  blanket , arbitrary , completely excessive distancing regulations 😡😠😤']"
22,34,22_bavaria_power bavaria_bavarian_csu,"['bavaria', 'power bavaria', 'bavarian', 'csu', 'rt', 'hamburg lower', 'route', 'gruenelandtagby', 'wind power', 'energytransition']","['@ gruenelandtagby measure 3 revive # windpower # energytransition . bavarian # stategovernment called upon implement following measure : introduction statewide area target least 2 percent state s area # stateplanning law # 18measures @ gruenelandtagby', 'blow horn loudly , keep garden clean ! first half 2019 , single new wind turbine built bavaria . bavaria plays large role stalled expansion wind power . districts bad tölz , miesbach , weilheim one small wind turbine .', '# csu also real hypocrites ... re green re completely blocking expansion wind power bavaria good reason ! # bavaria # windpower # energytransition . @ markus_soeder']"
23,31,23_merkel_top priority_priority_top,"['merkel', 'top priority', 'priority', 'top', 'energy top', 'chancellor', 'special conference', 'merkel likely', 'energy transition', 'special']","['# chancellor angela # merkel apparently making expansion # wind energy top priority . special conference # energy transition state premiers scheduled march . positive development ! # climateprotection # cop25', 'rt @ altbauneu : # chancellor angela # merkel apparently making expansion # wind energy top priority . special conference scheduled march…', 'rt @ ernstvall : # merkel likely makes expansion # wind energy top priority state premiers expected discuss expansion special conference march ...']"
24,29,24_wind power_power_nrw_apinkwart,"['wind power', 'power', 'nrw', 'apinkwart', 'nt', 'cdunrwfraktion', 'gruenebw', 'arminlaschet apinkwart', 'wind', 'rt']","['@ dlf @ hubertaiwanger @ freiewaehler_bv nt windmill front hubert aiwanger s house/community ? ? ? answer : he/his neighbors nt want . nobody wants thing doorstep within field vision .', '@ huslerlaurenz @ avi_shomer @ moormannrainer @ rossreiter @ jottes @ keeper_86 @ blatzuwe @ fwieschollek @ oliverhaas19 @ bjrnpeters3 @ kreiten_irma @ zebracowboy @ hubertboth1 @ trebbianos @ die_kehrseite @ quantenwelt @ 0thessa @ orangersperling @ freyrnjoerd @ ckemfert @ antiatompiraten want allow wind power north sea ?', '@ a_pinkwart @ xamoeller @ ruelke @ in4climatenrw @ wirtschaftnrw @ irgmbh @ ruhrkonferenz @ eanrw absolutely embarrassing . . one nt care nrw s interests , continues stifle wind power nrw drive energy transition ground .']"
25,29,25_analyses_analyses shadow_assessments_assessments decentralized,"['analyses', 'analyses shadow', 'assessments', 'assessments decentralized', 'individual site', 'climate resident', 'shadow noise', 'noise assessments', 'yes climate', 'resident wildlife']","['@ peter_simone @ kerstinandreae @ bmwi_bund # windpower blanket distancing regulations ! yes climate , resident , wildlife protection - individual site analyses shadow noise assessments 💪🌍💨☀️🌻🦅🦉🐤🐦🦇🐛🦋🐝🐞🌿🌳💚 decentralized energy transition now !', '@ focus_topnews # windpower blanket distancing regulations ! yes climate , resident , wildlife protection - individual site analyses shadow noise assessments 💪🌍💨☀️🌻🦅🦉🐤🐦🦇🐛🦋🐝🐞🌿🌳💚 decentralized energy transition now !', '@ _friedrichmerz # windpower blanket distancing regulations , # 10h ! yes climate , resident , wildlife protection - individual site analyses shadow noise assessments 🌍🦅🦉🐦🦇🦋🐝🐞🌿🌳 decentralized energy transition now !']"
26,26,26_minister_environment minister_appeal_peteraltmaier,"['minister', 'environment minister', 'appeal', 'peteraltmaier', 'minister peteraltmaier', 'stop', 'environment', 'destroying wind', 'minister via', 'svenjaschulze68 can']","['economics minister @ peteraltmaier destroying # wind power – # climate . @ svenjaschulze68 can still stop . sign appeal environment minister : via @ campact', 'economics minister @ peteraltmaier destroying # wind power – # climate . @ svenjaschulze68 can still stop . sign appeal environment minister : via @ campact', 'economics minister @ peteraltmaier destroying # wind power – # climate . @ svenjaschulze68 can still stop . sign appeal environment minister : via @ campact']"
27,25,27_conservationists_oppose social_power oppose_conservationists also,"['conservationists', 'oppose social', 'power oppose', 'conservationists also', 'also support', 'bird conservationists', 'bird', 'support wind', 'social distancing', 'oppose']","['@ mariselja ‼️ expand wind power ‼️  study : wind power bothers small minority   bird conservationists also support wind power oppose social distancing  sign :', '@ naturschutzring @ bund_net @ duh_4e @ germanwatch @ nabu_de @ wwf_deutschland @ greenpeace_de ‼️ expand wind power ‼️  study : wind power bothers small minority   bird conservationists also support wind power oppose social distancing  sign :', '@ realsci_de ‼️ expand wind power ‼️  study : wind power bothers small minority   bird conservationists also support wind power oppose social distancing  sign :']"
28,22,28_fire_guxhagen_wind turbine_turbine,"['fire', 'guxhagen', 'wind turbine', 'turbine', 'fire department', 'department', 'burning', 'stove', 'department can', 'krle']","['rt @ hallaschka_hh : today # guxhagen south # kassel - @ fire department can extinguish fire altitude extinguishing be…', '‼️‼️🇩🇪🇩🇪 # guxhagen near # kassel - @ fire department can extinguish fire height , extinguishing debris already fallen far dangerous . # windenergy # damageregister 🇩🇪🇩🇪‼️‼️', 'rt @ deutsch365 : ‼️‼️🇩🇪🇩🇪 # guxhagen near # kassel - @ fire department can extinguish fire height extinguishing fire already fallen ...']"
29,22,29_hesse_hesse 2019_state_four wind,"['hesse', 'hesse 2019', 'state', 'four wind', 'state government', 'southern hesse', 'four', 'blackgreen', 'southern', 'government']","['rt @ verakrug12 : `` state government hesse : breuberg geo nature park - wind farm  - sign now ! …', 'rt @ philipptuermer : way , four wind turbines built # hesse 2019 ! green making impact state government ! 🤪 # windpower', 'way , total four wind turbines built # hesse 2019 ! green making impact state government ! 🤪 # windpower']"
30,21,30_expansion_expansion wind_power expansion_joint,"['expansion', 'expansion wind', 'power expansion', 'joint', 'katapultmagazin', 'wind energy', 'wind', 'nabude', 'original', 'conflicting goals']","['rt @ nabu_de : 💨the expansion wind energy progressing far slowly : @ nabu_de environmental associations therefore calling joint thesis…', 'worth reading : @ pleh_mann s article @ katapultmagazin . conflicting goals expansion wind energy resolvable . fossil fuels . `` # energytransition can succeed understood advanced joint project . ', '💨the expansion wind energy proceeding far slowly : @ nabu_de environmental associations therefore calling offensive faster time environmentally friendly wind energy expansion joint position paper 🐦🦇🦅']"
31,20,31_noise_reduction_db_db reduction,"['noise', 'reduction', 'db', 'db reduction', 'today db', 'reduction 12', 'distance mid2020', 'distance follow', 'reduction 34', 'mid2020 db']","['climate action now news unique win-win situation : citizen acceptance expansion wind energy possible best-practice technologies noise reduction wind energy : today : -- > -3 db ( ) reduction = 3/4 distance mid-2020 : -- > 6 db ( ) reduction = 1/2 distance follow us😉', 'win-win situation : citizens  acceptance noise expansion wind energy possible innovative technical options noise reduction : today : -- > -3 db ( ) reduction = 3/4 distance mid-2020 : -- > 6 db ( ) reduction = 1/2 distance follow wts😉', 'win-win situation : citizens  acceptance noise expansion wind energy possible innovative technical options noise reduction : today : -- > -3 db ( ) reduction = 3/4 distance mid-2020 : -- > 6 db ( ) reduction = 1/2 distance follow wts😉']"
32,20,32_vote wind_vote_power windstrken_power windstrengthen,"['vote wind', 'vote', 'power windstrken', 'power windstrengthen', 'windstrengthen', 'windstrken', 'windpower', 'windstrken vote', 'soest', 'wind power']","['💨 vote wind power 👉 # windstrengthen', '💨 vote wind power 👉 # windstrengthen', '💨 vote wind power 👉 # windstrengthen']"
33,18,33_antinuclear_anticoal_antinuclear anticoal_energytransition,"['antinuclear', 'anticoal', 'antinuclear anticoal', 'energytransition', 'energytransition windenergy', 'windenergy', 'energy transition', 'transition', 'anticoal windenergy', 'anticoal antinuclear']","['wind power important energy source first time # antinuclear # anticoal # climate # energytransition # windenergy', 'wind power important energy source first time # antinuclear # anticoal # climate # energytransition # windenergy', '`` wind citizen s allowance  energy transition # antinuclear # anticoal # energytransition # windenergy # spd']"
34,17,34_eeg_older plants_will_year,"['eeg', 'older plants', 'will', 'year', 'plants', 'eligible', 'will longer', 'longer eligible', 'longer', 'surcharge']","['never since introduction renewable energy sources act ( eeg ) surcharge new wind turbines built last year . industry complaining , # spd supporting .', 'rt @ iwd_de : # eeg subsidies older plants generating green # electricity will gradually expire starting next year . affects # wind…', '# eeg subsidies older plants generating green # electricity will gradually expire starting next year . will hit # wind power particularly hard 👇']"
35,16,35_live_nearby_near wind_among,"['live', 'nearby', 'near wind', 'among', 'people live', 'near', 'rural areas', 'rural', 'affected', 'residents']","['rt @ uwevogt7 : right , means wind power dead . s people live nearby also benefit ( ...', 'kind world @ spdde live ? ... even among people live near wind turbines , eight ten citizens objections facilities . shows : wind energy nt acceptance problem among population , rather parts union . ', 'right , means wind power dead . s people live nearby also benefit ( s better word `` benefit  ) getting cheaper electricity , example .']"
